Matnr             ;Maktx                                   ;Meins;00000;Meint;Brgew   ;Ltgew   ;00000;Eantm        ;Eankb         ;T;B ;Tlif;Warn;Stop;
1024213           ;****************************************;йик  ;00013;йиб  ;0012,950;0000,015;00750;             ;15202390008372;4;  ; 365;  33; 328;
2253103           ;****************************************;тел  ;00012;йиб  ;0008,980;0000,020;00576;5203172001478;15203172142215;5;  ; 730; 110; 637;
2254101           ;****************************************;тел  ;00024;йиб  ;0012,676;0000,036;00960;5203172002185;15203172143014;5;  ; 730; 110; 637;
2111201           ;****************************************;тел  ;00012;йиб  ;0009,880;0000,011;00900;5204125100545;15204125100542;4;  ; 120;  24;  89;
2253101           ;****************************************;тел  ;00018;йиб  ;0013,732;0000,036;00864;5203172010920;15203172142284;5;  ; 730; 110; 637;
2253102           ;****************************************;тел  ;00015;йиб  ;0011,137;0000,029;00720;5203172010821;15203172142253;5;  ; 730; 110; 637;
2252105           ;****************************************;тел  ;00015;йиб  ;0011,182;0000,029;00720;5203172010807;15203172141249;5;  ; 730; 110; 637;
2111109           ;****************************************;тел  ;00012;йиб  ;0013,233;0000,016;00720;5204125100149;15204125100146;4;  ; 120;  24;  89;
2111111           ;****************************************;тел  ;00012;йиб  ;0013,197;0000,016;00720;5204125100347;15204125100344;4;  ; 120;  24;  89;
2111202           ;****************************************;тел  ;00012;йиб  ;0009,880;0000,011;00900;5204125100538;15204125100535;4;  ; 120;  24;  89;
2111108           ;****************************************;тел  ;00012;йиб  ;0006,674;0000,009;01260;5204125100095;15204125100092;4;  ; 120;  24;  89;
2252101           ;****************************************;тел  ;00014;йиб  ;0010,200;0000,022;00672;5203172001171;15203172141171;5;  ; 730; 110; 637;
2253104           ;****************************************;тел  ;00012;йиб  ;0009,016;0000,029;00480;5203172010838;15203172142260;5;  ; 730; 110; 637;
2111106           ;****************************************;тел  ;00012;йиб  ;0006,686;0000,009;01260;5204125100071;15204125100078;4;  ; 120;  24;  89;
2111118           ;****************************************;тел  ;00012;йиб  ;0006,500;0000,009;01260;5204125100521;15204125100528;4;  ; 120;  24;  89;
2252106           ;****************************************;тел  ;00015;йиб  ;0011,125;0000,027;00720;5203172001072;15203172141072;5;  ; 730; 110; 637;
2111107           ;****************************************;тел  ;00012;йиб  ;0006,674;0000,009;01260;5204125100088;15204125100085;4;  ; 120;  24;  89;
1024222           ;****************************************;йик  ;00013;йиб  ;0012,950;0000,015;00750;             ;15202390017206;4;  ; 360;  36; 324;
1021603           ;****************************************;тел  ;00008;йиб  ;0001,816;0000,004;02080;5202390020780;75202390020789;4;  ; 365;  37; 329;
1021602           ;****************************************;тел  ;00012;йиб  ;0002,969;0000,004;02772;5202390020414;25202390020418;4;  ; 300;  15; 243;
2111113           ;****************************************;тел  ;00012;йиб  ;0013,197;0000,016;00720;5204125100361;15204125100368;4;  ; 120;  24;  89;
